id_empresa	id_formula	fecha	orden_empaque	tipo_registro	orden_empaque_anterior	cantidad_producida	n_batches	id_usuario	fec_registro	ind_macro	costo_m_prima_usada	cant_m_prima_usada	costo_unitario_orden	unidad_medida	ind_inventarios	costo_m_obra	costo_indirecto	costo_total	ind_inventarios_entrada
01	PTGR130	27/12/1999 00:00:00	13964	P	13963	14000.00	10.00	IBPC	07/01/2000 08:43:45:34	S	5450601.820	13941.000	390.980						
01	PTGR155	27/12/1999 00:00:00	13968	C		5400.00	3.00	IBPC	07/01/2000 08:44:03:96	N	76548.680	35.450	2159.340						
01	PTRP134	27/12/1999 00:00:00	13949	P	13948	25200.00	18.00	IBPC	07/01/2000 08:43:41:39	S	10248394.210	26468.000	387.200						
01	PTCI190	27/12/1999 00:00:00	13956	P	13955	8000.00	8.00	IBPC	07/01/2000 08:43:43:2	S	2368415.330	7966.000	297.320						
01	PTGR120	27/12/1999 00:00:00	13960	C		16200.00	9.00	IBPC	07/01/2000 08:44:03:52	N	395165.160	113.760	3473.670						
01	PTCI180	27/12/1999 00:00:00	13952	P	13951	5400.00	3.00	IBPC	07/01/2000 08:43:42:21	S	2021918.970	5373.000	376.310						
01	PTRP156	27/12/1999 00:00:00	13953	P	13952	9000.00	5.00	IBPC	07/01/2000 08:43:42:38	S	3453614.410	8947.000	386.010						
01	PTGR120	27/12/1999 00:00:00	13960	P	13959	16200.00	9.00	IBPC	07/01/2000 08:43:44:35	S	6636692.880	16103.000	412.140						
01	PTCI170	27/12/1999 00:00:00	13947	P	13946	5400.00	3.00	IBPC	07/01/2000 08:43:40:84	S	2025531.910	5379.000	376.560						
01	PTGR180	27/12/1999 00:00:00	13966	P	13965	48600.00	27.00	IBPC	07/01/2000 08:43:45:95	S	18165173.700	48290.000	376.170						
01	PTCI170	27/12/1999 00:00:00	13947	C		5400.00	3.00	IBPC	07/01/2000 08:44:02:81	N	109501.650	34.460	3177.650						
01	PTGR142	27/12/1999 00:00:00	13961	P	13960	16200.00	9.00	IBPC	07/01/2000 08:43:44:57	S	6286740.810	16107.000	390.310						
01	PTGR152	27/12/1999 00:00:00	13945	P	13944	9000.00	5.00	IBPC	07/01/2000 08:43:40:4	S	3442431.910	8953.000	384.500						
01	PTRL153	27/12/1999 00:00:00	13955	C		7200.00	4.00	IBPC	07/01/2000 08:44:03:25	N	216060.540	50.010	4320.350						
01	PTRP155	27/12/1999 00:00:00	13958	C		10800.00	6.00	IBPC	07/01/2000 08:44:03:41	N	153097.370	70.900	2159.340						
01	PTGR150	27/12/1999 00:00:00	13965	C		16200.00	9.00	IBPC	07/01/2000 08:44:03:8	N	352953.230	112.810	3128.740						
01	PTGR105	27/12/1999 00:00:00	13963	C		14400.00	8.00	IBPC	07/01/2000 08:44:03:69	N	244002.580	99.460	2453.270						
01	PTRP156	27/12/1999 00:00:00	13953	C		9000.00	5.00	IBPC	07/01/2000 08:44:03:14	N	175843.630	63.580	2765.710						
01	PTCI161	27/12/1999 00:00:00	13948	P	13947	7200.00	4.00	IBPC	07/01/2000 08:43:41:17	S	2734297.380	7160.000	381.890						
01	PTGR174	27/12/1999 00:00:00	13967	C		30600.00	17.00	IBPC	07/01/2000 08:44:03:91	N	424362.400	194.070	2186.650						
01	PTGR174	27/12/1999 00:00:00	13967	P	13966	30600.00	17.00	IBPC	07/01/2000 08:43:46:17	S	11886356.680	31837.000	373.350						
01	PTRL153	27/12/1999 00:00:00	13955	P	13954	7200.00	4.00	IBPC	07/01/2000 08:43:42:98	S	2743534.220	7152.000	383.600						
01	PTCI161	27/12/1999 00:00:00	13957	C		21600.00	12.00	IBPC	07/01/2000 08:44:03:36	N	442807.550	138.620	3194.400						
01	PTRL154	27/12/1999 00:00:00	13954	P	13953	7200.00	4.00	IBPC	07/01/2000 08:43:42:76	S	2781169.320	7158.000	388.540						
01	PTGR142	27/12/1999 00:00:00	13961	C		16200.00	9.00	IBPC	07/01/2000 08:44:03:58	N	290632.460	101.840	2853.810						
01	PTGR162	27/12/1999 00:00:00	13962	C		16200.00	9.00	IBPC	07/01/2000 08:44:03:63	N	357698.380	113.220	3159.320						
01	PTRL172	27/12/1999 00:00:00	13951	P	13950	5400.00	3.00	IBPC	07/01/2000 08:43:41:99	S	2034447.270	5368.000	379.000						
01	PTGR152	27/12/1999 00:00:00	13946	P	13945	30600.00	17.00	IBPC	07/01/2000 08:43:40:62	S	11699575.780	30444.000	384.300						
01	PTCI161	27/12/1999 00:00:00	13957	P	13956	21600.00	12.00	IBPC	07/01/2000 08:43:43:53	S	8201830.220	21481.000	381.820						
01	PTRP174	27/12/1999 00:00:00	13950	C		12600.00	7.00	IBPC	07/01/2000 08:44:02:97	N	174737.450	79.910	2186.680						
01	PTGR150	27/12/1999 00:00:00	13965	P	13964	16200.00	9.00	IBPC	07/01/2000 08:43:45:56	S	6192800.570	16114.000	384.310						
01	PTGR152	27/12/1999 00:00:00	13945	C		9000.00	5.00	IBPC	07/01/2000 08:44:02:7	N	195159.120	62.210	3137.100						
01	PTGR162	27/12/1999 00:00:00	13962	P	13961	16200.00	9.00	IBPC	07/01/2000 08:43:44:79	S	6159368.640	16108.000	382.380						
01	PTRP174	27/12/1999 00:00:00	13950	P	13949	12600.00	7.00	IBPC	07/01/2000 08:43:41:61	S	4693362.240	12533.000	374.480						
01	PTGR176	27/12/1999 00:00:00	13959	C		16200.00	9.00	IBPC	07/01/2000 08:44:03:47	N	338035.550	103.270	3273.320						
01	PTCI161	27/12/1999 00:00:00	13948	C		7200.00	4.00	IBPC	07/01/2000 08:44:02:86	N	147602.520	46.210	3194.170						
01	PTGR152	27/12/1999 00:00:00	13946	C		30600.00	17.00	IBPC	07/01/2000 08:44:02:75	N	663541.020	211.530	3136.860						
01	PTRP134	27/12/1999 00:00:00	13949	C		25200.00	18.00	IBPC	07/01/2000 08:44:02:92	N	326256.420	174.620	1868.380						
01	PTGR105	27/12/1999 00:00:00	13963	P	13962	14400.00	8.00	IBPC	07/01/2000 08:43:45:12	S	6398622.430	14338.000	446.270						
01	PTGR130	27/12/1999 00:00:00	13964	C		14000.00	10.00	IBPC	07/01/2000 08:44:03:74	N	253646.950	83.000	3055.990						
01	PTRL154	27/12/1999 00:00:00	13954	C		7200.00	4.00	IBPC	07/01/2000 08:44:03:19	N	239120.060	46.900	5098.510						
01	PTCI161	24/12/1999 00:00:00	13944	C		18000.00	10.00	IBPC	07/01/2000 08:42:09:17	N	369006.290	115.520	3194.310						
01	PTGA501	24/12/1999 00:00:00	13942	C		3680.00	4.00	IBPC	07/01/2000 08:42:09:06	N	26436.900	26.000	1016.800						
01	PTGR162	24/12/1999 00:00:00	13940	P	13939	19800.00	11.00	IBPC	07/01/2000 08:42:01:59	S	7532141.430	19695.000	382.440						
01	PTCI161	24/12/1999 00:00:00	13944	P	13943	18000.00	10.00	IBPC	07/01/2000 08:42:02:63	S	6835326.540	17904.000	381.780						
01	PTGA501	24/12/1999 00:00:00	13942	P	13941	3680.00	4.00	IBPC	07/01/2000 08:42:02:03	S	1327153.280	3819.000	347.510						
01	PTGA500	24/12/1999 00:00:00	13941	P	13940	1840.00	2.00	IBPC	07/01/2000 08:42:01:81	S	596280.230	1832.000	325.480						
01	PTRP155	24/12/1999 00:00:00	13943	C		18000.00	10.00	IBPC	07/01/2000 08:42:09:11	N	255162.270	118.160	2159.460						
01	PTRP155	24/12/1999 00:00:00	13943	P	13942	18000.00	10.00	IBPC	07/01/2000 08:42:02:36	S	6911820.280	17912.000	385.880						
01	PTGR162	24/12/1999 00:00:00	13940	C		19800.00	11.00	IBPC	07/01/2000 08:42:09	N	437186.880	138.380	3159.320						
01	PTGA500	24/12/1999 00:00:00	13941	C		1840.00	2.00	IBPC	07/01/2000 08:42:09:06	N	13263.390	13.400	989.810						
01	PTGR152	23/12/1999 00:00:00	13923	P	13922	25200.00	14.00	IBPC	07/01/2000 08:40:30:03	S	9660340.440	25056.000	385.550						
01	PTRL172	23/12/1999 00:00:00	13925	P	13923	3600.00	2.00	IBPC	07/01/2000 08:40:30:36	S	1360224.340	3582.000	379.740						
01	PTRL172	23/12/1999 00:00:00	13925	C		3600.00	2.00	IBPC	07/01/2000 08:40:50:29	N	97574.370	22.600	4317.450						
01	PTGR155	23/12/1999 00:00:00	13933	C		18000.00	10.00	IBPC	07/01/2000 08:40:50:68	N	255162.270	118.160	2159.460						
01	PTRP134	23/12/1999 00:00:00	13930	C		15400.00	11.00	IBPC	07/01/2000 08:40:50:51	N	199378.930	106.710	1868.420						
01	PTCI190	23/12/1999 00:00:00	13928	C		4000.00	4.00	IBPC	07/01/2000 08:40:50:4	N	65742.290	29.280	2245.300						
01	PTGR152	23/12/1999 00:00:00	13923	C		25200.00	14.00	IBPC	07/01/2000 08:40:50:24	N	546445.550	174.200	3136.890						
