id_empresa	id_formula	fecha	orden_empaque	tipo_registro	orden_empaque_anterior	cantidad_producida	n_batches	id_usuario	fec_registro	ind_macro	costo_m_prima_usada	cant_m_prima_usada	costo_unitario_orden
01	PTGR150	14/07/1998 00:00:00	8513	C		16200.00	9.00	ERSS	24/08/1998 13:42:07:54	N	297928.137	113.499	2624.940
01	PTGR150	14/07/1998 00:00:00	8504	P	8503	14400.00	8.00	ERSS	24/08/1998 13:41:41:01	S	4706754.970	14309.000	328.940
01	PTRP191	14/07/1998 00:00:00	8505	C		21000.00	15.00	ERSS	24/08/1998 13:42:04:35	N	300087.600	125.040	2399.930
01	PTGR162	14/07/1998 00:00:00	8512	P	8511	48600.00	27.00	ERSS	24/08/1998 13:41:46:06	S	15692160.110	48348.000	324.570
01	PTRP156	14/07/1998 00:00:00	8509	C		7200.00	4.00	ERSS	24/08/1998 13:42:05:94	N	155976.680	48.480	3217.340
01	PTRP156	14/07/1998 00:00:00	8509	P	8508	7200.00	4.00	ERSS	24/08/1998 13:41:44:25	S	2280106.130	7160.000	318.450
01	PTGR130	14/07/1998 00:00:00	8516	P	8515	16800.00	12.00	ERSS	24/08/1998 13:41:48:53	S	5063871.180	16708.000	303.080
01	PTGR150	14/07/1998 00:00:00	8504	C		14400.00	8.00	ERSS	24/08/1998 13:42:03:97	N	264825.011	100.888	2624.940
01	PTGR155	14/07/1998 00:00:00	8517	P	8516	5400.00	3.00	ERSS	24/08/1998 13:41:49:19	S	1716888.810	5381.000	303.080
01	PTGR155	14/07/1998 00:00:00	8517	C		5400.00	3.00	ERSS	24/08/1998 13:42:09:02	N	91319.010	33.660	2835.830
01	PTGR150	14/07/1998 00:00:00	8514	C		32400.00	18.00	ERSS	24/08/1998 13:42:07:92	N	710552.274	223.758	3175.540
01	PTRP174	15/07/1998 00:00:00	8522	P	8521	25200.00	14.00	ERSS	24/08/1998 13:44:23:75	S	7793044.120	25079.000	310.740
01	PTGR170	15/07/1998 00:00:00	8529	C		32400.00	18.00	ERSS	24/08/1998 13:44:51:65	N	639014.759	202.878	3149.750
01	PTCI161	15/07/1998 00:00:00	8525	P	8524	36000.00	20.00	ERSS	24/08/1998 13:44:26:77	S	11641165.840	35842.000	324.790
01	PTGR120	15/07/1998 00:00:00	8530	P	8529	12600.00	7.00	ERSS	24/08/1998 13:44:30:95	S	4237405.490	12510.000	317.950
01	PTGR162	15/07/1998 00:00:00	8526	P	8525	48600.00	27.00	ERSS	24/08/1998 13:44:27:38	S	15696547.920	48356.000	324.600
01	PTGR130	15/07/1998 00:00:00	8528	P	8527	9800.00	7.00	ERSS	24/08/1998 13:44:28:81	S	2951940.060	9741.000	303.040
01	PTGR162	15/07/1998 00:00:00	8526	C		48600.00	27.00	ERSS	24/08/1998 13:44:50:34	N	1067363.188	322.137	3313.380
01	PTGR155	15/07/1998 00:00:00	8521	C		27000.00	15.00	ERSS	24/08/1998 13:44:48:08	N	456595.050	168.300	2712.980
01	PTGR176	15/07/1998 00:00:00	8527	C		21600.00	12.00	ERSS	24/08/1998 13:44:50:78	N	451423.859	142.572	3166.290
01	PTRP134	15/07/1998 00:00:00	8518	P	8517	12600.00	9.00	ERSS	24/08/1998 13:44:21:01	S	3861891.720	12541.000	307.940
01	PTGR155	15/07/1998 00:00:00	8521	P	8520	27000.00	15.00	ERSS	24/08/1998 13:44:23:15	S	8555916.990	26853.000	318.620
01	PTGR176	15/07/1998 00:00:00	8527	P	8526	21600.00	12.00	ERSS	24/08/1998 13:44:28:26	S	6848966.680	21475.000	318.930
01	PTRL110	15/07/1998 00:00:00	8524	P	8523	1800.00	1.00	ERSS	24/08/1998 13:44:26:22	S	644798.840	1793.000	359.620
01	PTCI160	15/07/1998 00:00:00	8523	P	8522	36000.00	20.00	ERSS	24/08/1998 13:44:24:3	S	11613579.250	35838.000	324.060
01	PTGR130	15/07/1998 00:00:00	8528	C		9800.00	7.00	ERSS	24/08/1998 13:44:51:21	N	228324.281	80.514	2835.830
01	PTRP174	15/07/1998 00:00:00	8522	C		25200.00	14.00	ERSS	24/08/1998 13:44:48:52	N	432834.052	159.880	2707.240
01	PTRP155	15/07/1998 00:00:00	8519	P	8518	36000.00	20.00	ERSS	24/08/1998 13:44:21:61	S	11411771.860	35814.000	318.640
01	PTGR120	15/07/1998 00:00:00	8530	C		12600.00	7.00	ERSS	24/08/1998 13:44:52:04	N	289433.151	98.602	3149.750
01	PTRP134	15/07/1998 00:00:00	8518	C		12600.00	9.00	ERSS	24/08/1998 13:44:46:93	N	212889.330	84.330	2524.480
01	PTRP174	15/07/1998 00:00:00	8520	P	8519	10800.00	6.00	ERSS	24/08/1998 13:44:22:16	S	3340598.940	10751.000	310.720
01	PTRP155	15/07/1998 00:00:00	8519	C		36000.00	20.00	ERSS	24/08/1998 13:44:47:32	N	604383.400	224.400	2693.330
01	PTGR170	15/07/1998 00:00:00	8529	P	8528	32400.00	18.00	ERSS	24/08/1998 13:44:29:9	S	10254161.090	32251.000	317.950
01	PTCI161	15/07/1998 00:00:00	8525	C		36000.00	20.00	ERSS	24/08/1998 13:44:49:95	N	696198.807	221.020	3149.940
01	PTCI160	15/07/1998 00:00:00	8523	C		36000.00	20.00	ERSS	24/08/1998 13:44:49:07	N	745477.687	228.220	3266.490
01	PTRL110	15/07/1998 00:00:00	8524	C		1800.00	1.00	ERSS	24/08/1998 13:44:49:51	N	39502.503	12.504	3159.190
01	PTRP174	15/07/1998 00:00:00	8520	C		10800.00	6.00	ERSS	24/08/1998 13:44:47:75	N	185500.308	68.520	2707.240
01	PTGR130	16/07/1998 00:00:00	8546	C		4200.00	3.00	ERSS	24/08/1998 13:47:59:28	N	97958.364	34.506	2838.880
01	PTCI164	16/07/1998 00:00:00	8540	P	8539	9000.00	5.00	ERSS	24/08/1998 13:47:31:93	S	2899164.560	8945.000	324.110
01	PTCI111	16/07/1998 00:00:00	8533	P	8532	1800.00	1.00	ERSS	24/08/1998 13:47:27:7	S	641294.630	1790.000	358.270
01	PTCI165	16/07/1998 00:00:00	8541	C		3600.00	2.00	ERSS	24/08/1998 13:47:57:25	N	56334.487	21.922	2569.770
01	PTCI160	16/07/1998 00:00:00	8542	C		19800.00	11.00	ERSS	24/08/1998 13:47:57:63	N	339920.728	127.501	2666.020
01	PTGR130	16/07/1998 00:00:00	8545	P	8544	7000.00	5.00	ERSS	24/08/1998 13:47:35:06	S	2105156.200	6948.000	302.990
