id_empresa	id_formula	fecha	cant_producida	n_batches	cant_m_prima_usada	costo_m_prima_usada	costo_unitario_diario	id_usuario	fec_registro
01	PTRP156	17/07/1998 00:00:00	7200.000	4.000	7201.480	2435393.894	338.180	ERSS	24/08/1998 13:50:13:41
01	PTRP134	18/07/1998 00:00:00	18200.000	13.000	18226.810	5881104.419	322.660	ERSS	24/08/1998 13:51:58:86
01	PTCI161	18/07/1998 00:00:00	41400.000	23.000	41394.313	14045912.830	339.320	ERSS	24/08/1998 13:51:58:7
01	PTCI165	18/07/1998 00:00:00	7200.000	4.000	7199.844	2432484.082	337.850	ERSS	24/08/1998 13:51:58:75
01	PTGR155	18/07/1998 00:00:00	19800.000	11.000	19797.420	6605817.032	333.670	ERSS	24/08/1998 13:51:58:86
01	PTGR152	21/07/1998 00:00:00	36000.000	20.000	36021.020	12519166.383	347.550	ERSS	24/08/1998 13:53:49:43
01	PTGR162	21/07/1998 00:00:00	48600.000	27.000	48594.997	16585182.020	341.290	ERSS	24/08/1998 13:53:49:54
01	PTCI170	21/07/1998 00:00:00	10800.000	6.000	10801.706	3590969.456	332.440	ERSS	24/08/1998 13:53:49:05
01	PTGR120	21/07/1998 00:00:00	16200.000	9.000	16240.774	5827332.145	358.810	ERSS	24/08/1998 13:53:49:1
01	PTGR142	21/07/1998 00:00:00	12600.000	7.000	12623.506	4177503.737	330.930	ERSS	24/08/1998 13:53:49:32
01	PTGR133	21/07/1998 00:00:00	4200.000	3.000	4207.406	1411056.817	335.370	ERSS	24/08/1998 13:53:49:26
01	PTGR150	21/07/1998 00:00:00	5400.000	3.000	5388.833	1865364.180	346.150	ERSS	24/08/1998 13:53:49:37
01	PTGR155	21/07/1998 00:00:00	21600.000	12.000	21609.640	7211551.171	333.720	ERSS	24/08/1998 13:53:49:48
01	PTRP192	21/07/1998 00:00:00	2800.000	2.000	2805.072	869478.476	309.970	ERSS	24/08/1998 13:53:49:76
01	PTGR130	21/07/1998 00:00:00	14000.000	10.000	14015.020	4534253.370	323.530	ERSS	24/08/1998 13:53:49:21
01	PTRP156	21/07/1998 00:00:00	18000.000	10.000	18014.200	6095671.714	338.380	ERSS	24/08/1998 13:53:49:7
01	PTCI150	21/07/1998 00:00:00	18000.000	10.000	18003.110	6233729.173	346.260	ERSS	24/08/1998 13:53:48:99
01	PTGR174	21/07/1998 00:00:00	21600.000	12.000	21622.040	7052132.307	326.150	ERSS	24/08/1998 13:53:49:65
01	PTGR170	21/07/1998 00:00:00	16200.000	9.000	16206.059	5386571.104	332.380	ERSS	24/08/1998 13:53:49:59
01	PTCI151	22/07/1998 00:00:00	36000.000	20.000	36050.820	12480092.087	346.180	ERSS	24/08/1998 13:55:38:68
01	PTCI111	22/07/1998 00:00:00	3600.000	2.000	3610.208	1353062.991	374.790	ERSS	24/08/1998 13:55:38:57
01	PTCI130	22/07/1998 00:00:00	9800.000	7.000	9813.514	3173406.757	323.370	ERSS	24/08/1998 13:55:38:62
01	PTGR162	22/07/1998 00:00:00	48600.000	27.000	48668.997	16565203.940	340.360	ERSS	24/08/1998 13:55:38:95
01	PTRP123	22/07/1998 00:00:00	3600.000	2.000	3605.900	1236595.078	342.940	ERSS	24/08/1998 13:55:39:12
01	PTRP155	22/07/1998 00:00:00	25200.000	14.000	25214.080	8411210.928	333.590	ERSS	24/08/1998 13:55:39:17
01	PTGR150	22/07/1998 00:00:00	48600.000	27.000	48623.497	16761712.208	344.720	ERSS	24/08/1998 13:55:38:9
01	PTGR170	22/07/1998 00:00:00	16200.000	9.000	16202.059	5385418.554	332.390	ERSS	24/08/1998 13:55:39:01
01	PTCI160	22/07/1998 00:00:00	36000.000	20.000	36096.820	12229459.671	338.800	ERSS	24/08/1998 13:55:38:73
01	PTCI171	22/07/1998 00:00:00	7200.000	4.000	7212.884	2395370.739	332.100	ERSS	24/08/1998 13:55:38:84
01	PTGR176	22/07/1998 00:00:00	32400.000	18.000	32439.098	10834352.457	333.990	ERSS	24/08/1998 13:55:39:06
01	PTRP175	22/07/1998 00:00:00	18000.000	10.000	18020.200	5961334.644	330.810	ERSS	24/08/1998 13:55:39:23
01	PTCI170	22/07/1998 00:00:00	7200.000	4.000	7207.804	2389235.264	331.480	ERSS	24/08/1998 13:55:38:79
01	PTGR142	23/07/1998 00:00:00	9000.000	5.000	9006.790	2980271.938	330.890	ERSS	24/08/1998 13:58:04:39
01	PTRP155	23/07/1998 00:00:00	39600.000	22.000	37813.840	12660863.404	334.820	ERSS	24/08/1998 13:58:04:72
01	PTCI160	23/07/1998 00:00:00	36000.000	20.000	36010.820	12240231.511	339.900	ERSS	24/08/1998 13:58:04:23
01	PTGR162	23/07/1998 00:00:00	66600.000	37.000	66599.107	22749840.982	341.590	ERSS	24/08/1998 13:58:04:56
01	PTGR130	23/07/1998 00:00:00	5600.000	4.000	5605.008	1812773.746	323.420	ERSS	24/08/1998 13:58:04:34
01	PTRP174	23/07/1998 00:00:00	36000.000	20.000	36103.400	11804052.118	326.950	ERSS	24/08/1998 13:58:04:78
01	PTGR155	23/07/1998 00:00:00	27000.000	15.000	26998.300	9024958.246	334.280	ERSS	24/08/1998 13:58:04:5
01	PTRP191	23/07/1998 00:00:00	21000.000	15.000	21028.040	6427879.837	305.680	ERSS	24/08/1998 13:58:04:83
01	PTGR170	23/07/1998 00:00:00	27000.000	15.000	28786.765	9541671.920	331.460	ERSS	24/08/1998 13:58:04:61
01	PTGR120	23/07/1998 00:00:00	16200.000	9.000	16214.774	5819595.260	358.910	ERSS	24/08/1998 13:58:04:34
