id_empresa	cod_granja	id_semana	id_mes	id_year	cod_formula	bultos	kilos	costo	f_inicio	f_fin	id_usuario	fec_registro
01	028	1	6	1998	PTCI170	100	4000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:13:58:1
01	020	1	6	1998	PTGR170	150	6000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:27:45:28
01	042	1	6	1998	PTRP174	350	14000	4105220.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:00:16:64
01	016	1	6	1998	PTRP155	321	12840	3765073.20	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:25:20:62
01	017	1	6	1998	PTRP174	262	10480	3073050.40	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:37:21:85
01	030	1	6	1998	PTRP191	55	2200	615164.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:35:11:62
01	049	1	6	1998	PTCI180	560	22400	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:24:44:79
01	029	1	6	1998	MAMP060	3	120	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:03:25:8
01	051	1	6	1998	PTRP191	75	3000	838860.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:45:59:52
01	251	2	6	1998	MAMP060	8	320	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:11:17:33
01	029	2	6	1998	PTRL172	165	6600	2047188.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:02:53:56
01	049	2	6	1998	MAMP060	3	120	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:16:27:33
01	038	2	6	1998	PTRP174	320	12800	3753344.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:50:11:96
01	044	2	6	1998	PTRL138	45	1800	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:01:03:76
01	050	2	6	1998	PTGR155	805	32200	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:55:50:36
01	020	2	6	1998	PTCI171	275	11000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:13:52:99
01	018	2	6	1998	PTCI161	650	26000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:04:19:46
01	048	2	6	1998	PTRP134	145	5800	1749744.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:47:56:73
01	035	2	6	1998	PTCI180	300	12000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:25:02:21
01	043	2	6	1998	PTCI180	40	1600	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:34:03:17
01	026	2	6	1998	PTCI164	300	12000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:32:13:48
01	020	2	6	1998	PTCI142	400	16000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:14:40:17
01	042	2	6	1998	PTRP155	185	7400	2169902.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:52:54:1
01	038	2	6	1998	PTRP193	120	4800	1096464.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:50:23:61
01	032	2	6	1998	PTCI120	55	2200	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:18:34:21
01	027	2	6	1998	PTCI161	330	13200	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:33:19:23
01	054	2	6	1998	PTRP155	820	32800	9617944.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:49:07:53
01	026	2	6	1998	MAMP060	6	240	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:32:50:45
01	017	2	6	1998	PTRP191	18	720	201326.40	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:58:57:1
01	042	2	6	1998	MAMP060	5	200	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:53:56:33
01	250	2	6	1998	PTCI160	1100	44000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:12:08:25
01	066	2	6	1998	PTRP175	164	6560	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:38:29:79
01	250	2	6	1998	MAMP060	8	320	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:12:22:97
01	041	2	6	1998	MAMP060	3	120	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:15:45:59
01	041	2	6	1998	PTCI170	840	33600	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:15:37:35
01	043	2	6	1998	PTCI170	170	6800	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:33:40:81
01	054	2	6	1998	PTRP191	55	2200	615164.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:49:22:8
01	026	2	6	1998	PTCI165	300	12000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:32:31:28
01	033	2	6	1998	PTRP134	100	4000	1206720.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:36:39:27
01	051	2	6	1998	PTGR155	1085	43400	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:54:54:94
